@ HyperIMU -ianovir - 2018
@ Date:Tue Dec 10 13:37:45 GMT+05:30 2019, Sampling Rate:100ms

ST_LIS3DHTR.x,ST_LIS3DHTR.y,ST_LIS3DHTR.z,GRAVITY.x,GRAVITY.y,GRAVITY.z,GPS.lat,GPS.long,GPS.alt,NMEA.a,NMEA.b,NMEA.c
-0.102,-0.055,9.785,-0.070693,-0.098114,9.805893,28.718435,77.133725,81.3,$GPGSV.4.3.15.32.28.069..193.22.114..16.19.169.24.0.10.15.136.*59,$GPGSV.4.4.15.11.13.253..25.12.045..23.09.286.14.8*59,$GLGSV.3.1.9.73.72.065..71.55.025.17.3.70.32.097..72.25.327.*4A
-0.102,-0.134,9.864,-0.104309,-0.1044,9.805527,28.718435,77.133725,81.3,$GLGSV.3.2.9.74.13.200.20.0.80.13.029..87.08.297..86.07.243.*44,$GLGSV.3.3.9.75.02.202.*6C,$BDGSV.4.1.13.23.67.056.14.8.09.55.034..02.55.166.25.2.05.50.215.*6F
-0.259,-0.212,9.785,-0.105209,-0.112716,9.805435,28.718435,77.133725,81.3,$BDGSV.4.2.13.07.49.105.23.0.10.46.149.22.2.03.40.127..16.40.062.19.7*7B,$BDGSV.4.3.13.06.37.066..20.24.317..25.17.041..01.15.104.*6A,$BDGSV.4.4.13.13.12.181.18.6*42
0.132,-0.055,9.785,-0.108825,-0.11531,9.805359,28.718435,77.133725,81.3,$GAGSV.1.1.4.24.59.094.18.9.09.36.083.15.2.03.24.306..15.12.300.*5E,$GNRMC.080751.000.A.2843.1061.N.07708.0235.E.2.125.79.71.101219...A*7A,$GNVTG.79.71.T..M.2.125.N.3.938.K.A*1E
-0.024,-0.134,9.785,-0.111328,-0.116958,9.805313,28.718435,77.133725,81.3,$PMTKTSX1.30386.-4115.570.36.614.36.317.5f940000.-0.393929.-0.411557.1.268427.-0.210381.1.460387.-0.408*28,$PMTKGEPH.19.1.0.1.1.0.0.0.1.0.1.1.1.0.1.0.1.0.1.0.1.1.1.1.0.1.1.1.0.0.0.1.1*3D,$PMTKGALM.31.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.0.1.1.1.1.1.1.1.1.1.1.1.1.1.1*2A
0.211,-0.134,9.707,-0.103683,-0.122039,9.805328,28.718435,77.133725,81.3,$GNACCURACY.6.4*14,$PMTKAGC.080751.000.4619.4919.5936.5920.0.0.0*6A, 
-0.024,-0.055,9.785,-0.079772,-0.121795,9.805557,28.718435,77.133725,81.3, , , 
-0.102,-0.055,9.785,-0.088455,-0.119918,9.805511,28.718435,77.133725,81.3, , , 
-0.024,-0.055,9.785,-0.092712,-0.117996,9.805496,28.718435,77.133725,81.3,$GPGSA.A.3.31.03.26.16.........1.35.1.02.0.88*04,$GLGSA.A.3.71.74...........1.35.1.02.0.88*1F,$BDGSA.A.3.23.13.16.07.10.02.......1.35.1.02.0.88*17
-0.102,-0.134,9.785,-0.117889,-0.114074,9.805267,28.71843666666667,77.133715,81.7,$GAGSA.A.3.24............1.35.1.02.0.88*11,$GPGSV.4.1.15.31.64.029.13.0.41.55.167.34.0.22.50.316..14.47.040.12.0*6D,$GPGSV.4.2.15.26.40.145.35.7.01.36.265..194.35.062..03.28.320.14.1*4D
-0.024,-0.055,9.707,-0.165206,-0.108947,9.804642,28.71843666666667,77.133715,81.7,$GPGSV.4.3.15.32.28.069.19.5.193.22.114..16.19.169.23.6.10.15.136.*4B,$GPGSV.4.4.15.11.13.253..25.12.045..23.09.286.14.8*59,$GLGSV.3.1.9.73.72.065..71.55.025.16.9.70.32.097..72.25.327.*41
-0.024,-0.134,9.707,-0.172241,-0.108093,9.804535,28.71843666666667,77.133715,81.7,$GLGSV.3.2.9.74.13.200.19.9.80.13.029..87.08.297..86.07.243.*47,$GLGSV.3.3.9.75.02.202.*6C,$BDGSV.4.1.13.23.67.056.14.8.09.55.034..02.55.166.26.0.05.50.215.*6E
-0.102,-0.134,9.785,-0.151885,-0.107971,9.804871,28.71843666666667,77.133715,81.7,$BDGSV.4.2.13.07.49.105.24.7.10.46.149.22.6.03.40.127..16.40.062.19.7*7F,$BDGSV.4.3.13.06.37.066..20.24.317..25.17.041..01.15.104.*6A,$BDGSV.4.4.13.13.12.181.18.3*47
-0.18,-0.212,9.707,-0.136077,-0.109298,9.805084,28.71843666666667,77.133715,81.7,$GAGSV.1.1.4.24.59.094.15.7.09.36.083.11.9.03.24.306..15.12.300.*52,$GNRMC.080752.000.A.2843.1062.N.07708.0229.E.3.392.61.92.101219...A*7C,$GNVTG.61.92.T..M.3.392.N.6.285.K.A*1D
-0.259,-0.134,9.785,-0.137268,-0.12117,9.804932,28.71843666666667,77.133715,81.7,$PMTKTSX1.31386.-4067.233.36.550.36.311.5f980000.-0.392664.-0.406723.3.569140.-0.210381.1.460387.-0.417*2A,$PMTKGEPH.19.1.0.1.1.0.0.0.1.0.1.1.1.0.1.0.1.0.1.0.1.1.1.1.0.1.1.1.0.0.0.1.1*3D,$PMTKGALM.31.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.0.1.1.1.1.1.1.1.1.1.1.1.1.1.1*2A
